Currency,Date,Open,High,Low,Close,Volume,Market Cap
cardano,"Oct 31, 2019",0.04,0.04,0.04,0.04,65333067.00,1079489291.00
cardano,"Oct 30, 2019",0.04,0.04,0.04,0.04,87541890.00,1088083802.00
cardano,"Oct 29, 2019",0.04,0.04,0.04,0.04,83357024.00,1126380670.00
cardano,"Oct 28, 2019",0.04,0.04,0.04,0.04,101906301.00,1098341833.00
cardano,"Oct 27, 2019",0.04,0.04,0.04,0.04,122643093.00,1097616330.00
cardano,"Oct 26, 2019",0.04,0.04,0.04,0.04,122861125.00,1051275058.00
cardano,"Oct 25, 2019",0.04,0.04,0.04,0.04,80455621.00,1069400506.00
cardano,"Oct 24, 2019",0.04,0.04,0.04,0.04,49800738.00,977063811.00
eos,"Dec 04, 2019",2.70,2.74,2.60,2.65,1991656646.00,2497719668.00
eos,"Dec 03, 2019",2.69,2.74,2.65,2.70,1391933885.00,2549066942.00
eos,"Dec 02, 2019",2.78,2.80,2.66,2.69,1641895350.00,2531453856.00
eos,"Dec 01, 2019",2.76,2.84,2.68,2.78,1792147034.00,2618290742.00
eos,"Nov 30, 2019",2.80,2.83,2.74,2.76,1537950803.00,2598670742.00
eos,"Nov 29, 2019",2.64,2.80,2.64,2.80,1899935358.00,2636173142.00
eos,"Nov 28, 2019",2.69,2.76,2.62,2.64,1514999632.00,2483560320.00
eos,"Nov 27, 2019",2.63,2.73,2.53,2.69,2247567344.00,2532133843.00
eos,"Nov 26, 2019",2.53,2.65,2.53,2.63,1894353525.00,2479535254.00
eos,"Nov 25, 2019",2.45,2.60,2.37,2.54,3240749705.00,2387930189.00
eos,"Nov 24, 2019",2.72,2.73,2.45,2.45,2906089979.00,2307205605.00
eos,"Nov 23, 2019",2.63,2.73,2.59,2.72,2021876981.00,2564872526.00
eos,"Nov 22, 2019",2.83,2.85,2.51,2.63,3602118620.00,2477842442.00
eos,"Nov 21, 2019",3.10,3.12,2.79,2.83,2542236471.00,2659185420.00
eos,"Nov 20, 2019",3.15,3.18,3.09,3.10,1963218325.00,2914257086.00
eos,"Nov 19, 2019",3.23,3.27,3.07,3.15,2304230672.00,2965681898.00
eos,"Nov 18, 2019",3.42,3.46,3.15,3.23,2272078620.00,3035722432.00
eos,"Nov 17, 2019",3.41,3.47,3.37,3.42,1573105687.00,3218347132.00
eos,"Nov 16, 2019",3.34,3.41,3.33,3.41,1466435139.00,3203173411.00
eos,"Nov 15, 2019",3.42,3.48,3.33,3.34,2058586140.00,3145080225.00
eos,"Nov 14, 2019",3.48,3.49,3.39,3.42,1728331755.00,3215424716.00
eos,"Nov 13, 2019",3.48,3.50,3.45,3.48,1828134783.00,3271483468.00
eos,"Nov 12, 2019",3.45,3.53,3.43,3.48,2404898305.00,3273174725.00
eos,"Nov 11, 2019",3.59,3.60,3.44,3.45,2044553191.00,3240138787.00
eos,"Nov 10, 2019",3.49,3.61,3.48,3.58,2399902626.00,3368114310.00
eos,"Nov 09, 2019",3.42,3.50,3.42,3.49,1937769184.00,3277616855.00
eos,"Nov 08, 2019",3.50,3.55,3.39,3.42,2561508538.00,3213675374.00
eos,"Nov 07, 2019",3.62,3.63,3.46,3.50,2352629788.00,3283847627.00
eos,"Nov 06, 2019",3.62,3.67,3.57,3.62,2422013167.00,3402662724.00
eos,"Nov 05, 2019",3.45,3.66,3.41,3.62,3098696039.00,3398966741.00
eos,"Nov 04, 2019",3.29,3.48,3.26,3.45,2622910762.00,3234215785.00
eos,"Nov 03, 2019",3.33,3.35,3.22,3.28,1747407101.00,3083125737.00
eos,"Nov 02, 2019",3.35,3.39,3.31,3.33,1853095765.00,3129373031.00
eos,"Nov 01, 2019",3.28,3.38,3.24,3.35,2155169872.00,3147694261.00
eos,"Oct 31, 2019",3.30,3.37,3.20,3.28,2214401900.00,3073979520.00
eos,"Oct 30, 2019",3.41,3.41,3.22,3.30,2485786630.00,3093636013.00
eos,"Oct 29, 2019",3.29,3.45,3.29,3.41,2600414930.00,3196064369.00
eos,"Oct 28, 2019",3.34,3.50,3.26,3.30,3132020604.00,3092271494.00
eos,"Oct 27, 2019",3.14,3.44,3.09,3.34,3568565292.00,3130088275.00
eos,"Oct 26, 2019",3.18,3.48,3.02,3.14,4412536644.00,2940437151.00
ethereum,"Dec 04, 2019",147.92,150.68,145.00,146.75,7865937094.00,15966157442.00
ethereum,"Dec 03, 2019",149.06,150.31,146.00,147.96,6204379850.00,16095928402.00
ethereum,"Dec 02, 2019",151.18,152.12,147.61,149.06,6670561362.00,16214125032.00
ethereum,"Dec 01, 2019",152.49,152.49,147.07,151.19,7102780298.00,16443650814.00
ethereum,"Nov 30, 2019",155.29,156.69,151.23,152.54,6565950868.00,16589132426.00
ethereum,"Nov 29, 2019",151.77,156.85,151.46,155.30,7503898278.00,16887922522.00
ethereum,"Nov 28, 2019",153.07,156.61,151.09,151.72,7346531960.00,16496129470.00
ethereum,"Nov 27, 2019",148.40,154.89,143.53,153.01,8778095308.00,16634910472.00
ethereum,"Nov 26, 2019",146.40,150.00,145.22,148.97,7648516297.00,16193326033.00
ethereum,"Nov 25, 2019",142.70,150.21,133.80,146.48,10962753356.00,15921080564.00
ethereum,"Nov 24, 2019",153.43,153.97,142.83,142.83,7782769098.00,15523459920.00
ethereum,"Nov 23, 2019",150.21,154.10,147.60,153.42,8289198330.00,16671705910.00
ethereum,"Nov 22, 2019",161.51,163.03,142.34,150.27,12020749863.00,16327536038.00
ethereum,"Nov 21, 2019",175.67,176.21,159.37,161.46,8546371325.00,17541867626.00
ethereum,"Nov 20, 2019",177.42,178.99,175.29,175.70,7205785149.00,19086228092.00
ethereum,"Nov 19, 2019",180.50,182.53,175.20,177.46,7536699743.00,19274876583.00
ethereum,"Nov 18, 2019",185.04,186.93,179.18,180.56,7787662111.00,19609782345.00
ethereum,"Nov 17, 2019",183.35,188.19,182.34,185.12,7364325471.00,20102654601.00
